match_id,competition_code,competition_name,season,matchday,stage,status,date_utc,referee,home_team_id,home_team_x,away_team_id,away_team_x,fulltime_home,fulltime_away,halftime_home,halftime_away,goal_difference,total_goals,match_outcome,home_points,away_points,referee_id,home_team_y,home_team_goals,home_team_assists,home_team_minutes,home_team_passes_attempted,home_team_passes_completed,home_team_avg_top_speed,home_team_pass_acc,home_top11_goals,home_top11_assists,home_top11_avg_pass_acc,home_top11_avg_age,home_team_name,away_team_y,away_team_goals,away_team_assists,away_team_minutes,away_team_passes_attempted,away_team_passes_completed,away_team_avg_top_speed,away_team_pass_acc,away_top11_goals,away_top11_assists,away_top11_avg_pass_acc,away_top11_avg_age,away_team_name,home_team_goals_per90,home_team_assists_per90,home_team_passes_attempted_per90,home_team_passes_completed_per90,away_team_goals_per90,away_team_assists_per90,away_team_passes_attempted_per90,away_team_passes_completed_per90,home_last3_points,home_last3_gd,home_last5_points,home_last5_gd,away_last3_points,away_last3_gd,away_last5_points,away_last5_gd,home_elo_before,away_elo_before
524110,CL,UEFA Champions League,2024/2025,1,QUARTER_FINALS,FINISHED,2025-04-09 19:00:00+00:00,Espen Eskås,81,FC Barcelona,4,Borussia Dortmund,4,0,1,0,4,4,Home Win,3,0,133,50080.0,14.0,14.0,3890.0,2064.0,1815.0,30.629166666666663,82.37916666666666,13.0,12.0,86.11454545454545,24.545454545454547,FC Barcelona,52758.0,13.0,7.0,3965.0,2389.0,2144.0,31.347619047619045,78.22714285714285,8.0,6.0,88.28090909090909,27.09090909090909,Borussia Dortmund,0.32390745501285345,0.32390745501285345,47.753213367609256,41.99228791773779,0.29508196721311475,0.158890290037831,54.22698612862547,48.66582597730139,7.0,6.0,13.0,10.0,6.0,3.0,9.0,3.0,1649.5331830975827,1533.6812579964028
524117,CL,UEFA Champions League,2024/2025,1,SEMI_FINALS,FINISHED,2025-04-30 19:00:00+00:00,Clément Turpin,81,FC Barcelona,108,FC Internazionale Milano,3,3,2,2,0,6,Draw,1,1,114,50080.0,14.0,14.0,3890.0,2064.0,1815.0,30.629166666666663,82.37916666666666,13.0,12.0,86.11454545454545,24.545454545454547,FC Barcelona,50138.0,6.0,3.0,3963.0,1866.0,1631.0,31.294,84.03,3.0,2.0,85.91818181818182,28.63636363636364,FC Internazionale Milano,0.32390745501285345,0.32390745501285345,47.753213367609256,41.99228791773779,0.13626040878122636,0.06813020439061318,42.376987130961396,37.04012112036336,6.0,0.0,12.0,5.0,1.0,-2.0,7.0,1.0,1657.561716349397,1644.7831998878735
524075,CL,UEFA Champions League,2024/2025,2,LEAGUE_STAGE,FINISHED,2024-10-01 16:45:00+00:00,Manfredas Lukjančukas,10,VfB Stuttgart,907,AC Sparta Praha,1,1,1,1,0,2,Draw,1,1,146,50107.0,3.0,3.0,3964.0,2173.0,1915.0,30.96444444444445,85.945,2.0,3.0,85.8790909090909,25.181818181818183,VfB Stuttgart,50033.0,5.0,4.0,3960.0,1076.0,776.0,30.895454545454548,67.94454545454545,5.0,3.0,70.17545454545456,25.545454545454547,AC Sparta Praha,0.0681130171543895,0.0681130171543895,49.336528758829466,43.47880928355197,0.11363636363636363,0.09090909090909091,24.454545454545453,17.636363636363637,4.0,2.0,8.0,4.0,3.0,3.0,3.0,3.0,1506.96648508474,1507.1987000039423
523938,CL,UEFA Champions League,2024/2025,2,LEAGUE_STAGE,FINISHED,2024-10-01 19:00:00+00:00,José Sánchez Martínez,4,Borussia Dortmund,732,Celtic FC,7,1,5,1,6,8,Home Win,3,0,30,52758.0,13.0,7.0,3965.0,2389.0,2144.0,31.347619047619045,78.22714285714285,8.0,6.0,88.28090909090909,27.09090909090909,Borussia Dortmund,50050.0,9.0,7.0,3966.0,2017.0,1770.0,31.8135,80.4465,8.0,6.0,83.12181818181818,27.363636363636363,Celtic FC,0.29508196721311475,0.158890290037831,54.22698612862547,48.66582597730139,0.2042360060514372,0.1588502269288956,45.771558245083206,40.16641452344932,6.0,1.0,10.0,3.0,3.0,4.0,3.0,4.0,1527.482455320119,1507.1987000039423
523942,CL,UEFA Champions League,2024/2025,2,LEAGUE_STAGE,FINISHED,2024-10-01 19:00:00+00:00,Erik Lambrechts,81,FC Barcelona,1871,BSC Young Boys,5,0,3,0,5,5,Home Win,3,0,147,50080.0,14.0,14.0,3890.0,2064.0,1815.0,30.629166666666663,82.37916666666666,13.0,12.0,86.11454545454545,24.545454545454547,FC Barcelona,50031.0,1.0,1.0,3963.0,1476.0,1244.0,31.228181818181817,79.28545454545454,1.0,0.0,81.08454545454546,24.09090909090909,BSC Young Boys,0.32390745501285345,0.32390745501285345,47.753213367609256,41.99228791773779,0.022710068130204392,0.022710068130204392,33.52006056018168,28.251324753974263,6.0,3.0,9.0,5.0,0.0,-3.0,0.0,-3.0,1552.0732366469301,1487.6952029979182
523950,CL,UEFA Champions League,2024/2025,2,LEAGUE_STAGE,FINISHED,2024-10-01 19:00:00+00:00,Felix Zwayer,108,FC Internazionale Milano,7283,FK Crvena Zvezda,4,0,1,0,4,4,Home Win,3,0,92,50138.0,6.0,3.0,3963.0,1866.0,1631.0,31.294,84.03,3.0,2.0,85.91818181818182,28.63636363636364,FC Internazionale Milano,50069.0,4.0,3.0,3966.0,1491.0,1236.0,30.74217391304348,75.02913043478262,2.0,3.0,77.44727272727272,26.09090909090909,FK Crvena Zvezda,0.13626040878122636,0.06813020439061318,42.376987130961396,37.04012112036336,0.0907715582450832,0.0680786686838124,33.83509833585476,28.048411497730708,4.0,0.0,8.0,4.0,0.0,-1.0,0.0,-1.0,1521.5896041227527,1487.1987000039423
523981,CL,UEFA Champions League,2024/2025,2,LEAGUE_STAGE,FINISHED,2024-10-01 19:00:00+00:00,Sandro Schärer,3,Bayer 04 Leverkusen,98,AC Milan,1,0,0,0,1,1,Home Win,3,0,144,50109.0,5.0,6.0,3971.0,2263.0,2033.0,31.4925,81.851,5.0,4.0,86.01545454545455,26.363636363636363,Bayer 04 Leverkusen,50058.0,7.0,6.0,3961.0,2107.0,1914.0,32.1515,81.99199999999999,6.0,4.0,88.13636363636364,26.727272727272727,AC Milan,0.11332158146562579,0.13598589775875095,51.289347771342236,46.07655502392345,0.1590507447614239,0.13632920979550617,47.87427417318859,43.48901792476647,7.0,5.0,10.0,7.0,6.0,2.0,10.0,6.0,1534.6304072687199,1508.2598777632584
523947,CL,UEFA Champions League,2024/2025,2,LEAGUE_STAGE,FINISHED,2024-10-02 19:00:00+00:00,Nikola Dabanović,64,Liverpool FC,103,Bologna FC 1909,2,0,1,0,2,2,Home Win,3,0,149,7889.0,10.0,9.0,3963.0,2005.0,1735.0,31.50523809523809,82.94904761904762,9.0,8.0,85.81818181818181,27.181818181818183,Liverpool FC,52969.0,0.0,0.0,3963.0,1652.0,1363.0,31.017000000000003,78.4,0.0,0.0,80.18181818181819,26.27272727272728,Bologna FC 1909,0.22710068130204392,0.2043906131718395,45.533686601059806,39.401968205904616,0.0,0.0,37.51703255109766,30.953822861468584,9.0,6.0,12.0,8.0,5.0,1.0,7.0,1.0,1548.1493569987472,1497.7076648214886
524069,CL,UEFA Champions League,2024/2025,2,LEAGUE_STAGE,FINISHED,2024-10-02 19:00:00+00:00,Äliyar Ağayev,2021,SK Sturm Graz,851,Club Brugge KV,0,1,0,1,-1,1,Away Win,0,3,152,50111.0,0.0,1.0,3958.0,1399.0,1135.0,30.551,78.4835,0.0,1.0,77.9090909090909,22.545454545454547,SK Sturm Graz,50043.0,3.0,2.0,3912.0,1921.0,1693.0,31.28684210526316,82.76894736842105,2.0,1.0,87.19,25.181818181818183,Club Brugge KV,0.0,0.022738756947953513,31.811520970186965,25.80848913592724,0.06901840490797545,0.046012269938650305,44.19478527607362,38.94938650306748,0.0,-1.0,0.0,-1.0,0.0,-3.0,0.0,-3.0,1492.3112120692265,1487.6647802769487
524087,CL,UEFA Champions League,2024/2025,2,PLAYOFFS,FINISHED,2025-02-18 20:00:00+00:00,Benoît Bastien,5,FC Bayern München,732,Celtic FC,1,1,0,0,0,2,Draw,1,1,112,50037.0,11.0,8.0,3964.0,2889.0,2647.0,30.5435,89.7675,9.0,7.0,90.12181818181818,27.63636363636364,FC Bayern München,50050.0,9.0,7.0,3966.0,2017.0,1770.0,31.8135,80.4465,8.0,6.0,83.12181818181818,27.363636363636363,Celtic FC,0.24974772956609487,0.18163471241170534,65.5928355196771,60.098385469223004,0.2042360060514372,0.1588502269288956,45.771558245083206,40.16641452344932,7.0,4.0,13.0,7.0,3.0,-2.0,5.0,-2.0,1638.7369697805627,1500.6433244401292
